Order_ID,Customer_ID,Restaurant_ID,Rider_ID,Order_Date,Order_Time,City,Restaurant_Name,Cuisine,Order_Status,Payment_Method,Customer_Age,Gender,Distance_km,Delivery_Time_Min,Traffic_Level,Weather,Subtotal,Discount,Delivery_Fee,GST,Total_Amount,Profit,Customer_Rating,Review,Coupon_Code,Refund_Reason,Items_Count,Payment_Status,Peak_Hour,Weekend,Platform,Restaurant_Rating,Rider_Rating,Preparation_Time,Delivery_Type,Customer_Segment,Festival,Complaint_Type,Tip,Order_Time_Raw,Order_Month,Order_Day,Weekday,Hour,Time_Slot,Average_Order_Value,Profit_Margin_%,Delivery_Delay_Min,Delivery_Delay_Category,Revenue_Bucket,Customer_Age_Group
ORD00011,CUST8262,REST141,RID1627,2025-09-05,11:56:00,Mumbai,Restaurant 65,Burger,Delivered,Wallet,30,Female,7.3,49,Medium,Rain,508.01,25.4,20,24.13,526.74,153.4,5.0,Excellent,WELCOME50,,3,Paid,No,No,iOS,4.7,4.0,24,Standard,Regular,No,,30,11:56,Sep,5,Friday,11,Morning,175.58,29.12,25,High Delay,Low Revenue,26-35
ORD00012,CUST5146,REST117,RID1990,2025-06-11,10:42:00,Pune,Restaurant 60,South Indian,Delivered,UPI,43,Female,3.3,57,Low,Clear,276.52,13.83,20,13.13,295.82,75.71,5.0,Average,WELCOME50,,4,Paid,No,No,Android,3.8,4.2,33,Express,New,No,,30,10:42,Jun,11,Wednesday,10,Morning,73.955,25.59,24,High Delay,Low Revenue,36-50
ORD00013,CUST2377,REST133,RID1278,2025-08-14,08:24:00,Mumbai,Restaurant 6,Desserts,Delivered,Credit Card,35,Male,12.5,69,High,Cloudy,1003.58,150.54,20,42.65,915.69,193.11,5.0,Good,WELCOME50,,5,Paid,No,No,Android,4.5,3.9,11,Standard,Regular,No,,20,08:24,Aug,14,Thursday,8,Morning,183.138,21.09,58,High Delay,High Revenue,26-35
ORD00014,CUST1189,REST143,RID1566,2025-01-09,10:51:00,Navi Mumbai,Restaurant 54,Chinese,Delivered,Wallet,26,Male,8.4,30,Low,Clear,982.79,0.0,20,49.14,1051.93,199.11,2.0,Poor,,,2,Paid,No,No,iOS,4.4,4.4,16,Express,Regular,No,,10,10:51,Jan,9,Thursday,10,Morning,525.965,18.93,14,Slight Delay,High Revenue,26-35
ORD00015,CUST9425,REST160,RID1251,2025-05-19,19:51:00,Hyderabad,Restaurant 58,North Indian,Delivered,Cash,60,Female,8.6,71,Medium,Rain,510.59,0.0,20,25.53,556.12,109.09,2.0,Good,,,2,Paid,Yes,No,Android,4.7,4.6,30,Standard,Regular,No,,0,19:51,May,19,Monday,19,Evening,278.06,19.62,41,High Delay,Mid Revenue,51+
ORD00016,CUST9289,REST185,RID1994,2025-03-08,08:04:00,Mumbai,Restaurant 37,Burger,Delivered,Credit Card,36,Male,7.4,25,Medium,Cloudy,1341.41,134.14,30,60.36,1297.63,195.35,,,SAVE100,,3,Paid,No,Yes,iOS,4.9,4.5,17,Standard,Regular,No,,10,08:04,Mar,8,Saturday,8,Morning,432.54333333333335,15.05,8,Slight Delay,Top Revenue,36-50
ORD00017,CUST5328,REST111,RID1147,2025-01-01,18:24:00,Bengaluru,Restaurant 52,Burger,Delivered,UPI,43,Male,5.2,55,Low,Clear,548.19,0.0,30,27.41,605.6,144.03,5.0,Excellent,,,2,Paid,No,No,iOS,4.5,4.9,22,Express,Premium,No,,10,18:24,Jan,1,Wednesday,18,Evening,302.8,23.78,33,High Delay,Mid Revenue,36-50
ORD00018,CUST9263,REST172,RID1854,2025-05-26,12:02:00,Hyderabad,Restaurant 3,Desserts,Delivered,Wallet,59,Male,2.2,17,Low,Rain,1123.81,168.57,50,47.76,1053.0,214.92,1.0,Good,FOOD10,,4,Paid,Yes,No,iOS,4.3,4.6,30,Standard,Regular,No,,30,12:02,May,26,Monday,12,Afternoon,263.25,20.41,-13,On Time,High Revenue,51+
ORD00019,CUST4362,REST129,RID1757,2025-02-05,10:42:00,Mumbai,Restaurant 84,Pizza,Delivered,Cash,42,Male,7.7,58,Medium,Clear,1164.36,116.44,40,52.4,1140.32,276.58,2.0,Good,FOOD10,,1,Paid,No,No,Android,4.0,4.6,32,Express,Premium,No,,0,10:42,Feb,5,Wednesday,10,Morning,1140.32,24.25,26,High Delay,High Revenue,36-50
ORD00020,CUST8613,REST159,RID1477,2025-09-04,09:31:00,Navi Mumbai,Restaurant 99,North Indian,Delivered,Wallet,30,Female,14.7,74,Medium,Clear,1067.04,0.0,50,53.35,1170.39,226.4,1.0,Average,,,5,Paid,No,No,iOS,4.1,4.1,16,Standard,New,No,,10,09:31,Sep,4,Thursday,9,Morning,234.07800000000003,19.34,58,High Delay,High Revenue,26-35
ORD00021,CUST8964,REST150,RID1025,2025-09-26,16:23:00,Mumbai,Restaurant 21,North Indian,Delivered,Cash,46,Female,5.2,24,Medium,Cloudy,1262.69,189.4,40,53.66,1166.95,240.88,1.0,Good,SAVE100,,3,Paid,No,No,Android,4.6,4.8,13,Standard,Premium,Yes,,20,16:23,Sep,26,Friday,16,Afternoon,388.98333333333335,20.64,11,Slight Delay,High Revenue,36-50
ORD00022,CUST5597,REST113,RID1052,2025-05-10,19:04:00,Navi Mumbai,Restaurant 85,Chinese,Delivered,Credit Card,33,Female,7.1,35,Low,Cloudy,1498.41,224.76,20,63.68,1357.33,363.45,4.0,Average,WELCOME50,,1,Paid,Yes,Yes,iOS,4.4,4.9,40,Standard,Premium,No,,30,19:04,May,10,Saturday,19,Evening,1357.33,26.78,-5,On Time,Top Revenue,26-35
ORD00023,CUST5878,REST132,RID1756,2025-08-19,12:41:00,Pune,Restaurant 95,Biryani,Delivered,Debit Card,43,Male,5.2,50,High,Cloudy,820.96,123.14,30,34.89,762.71,128.11,2.0,Average,SAVE100,,1,Paid,Yes,No,Android,4.8,4.4,17,Express,Regular,No,,30,12:41,Aug,19,Tuesday,12,Afternoon,762.71,16.8,33,High Delay,Mid Revenue,36-50
ORD00024,CUST4311,REST102,RID1767,2025-08-07,12:35:00,Navi Mumbai,Restaurant 53,Pizza,Delivered,Cash,51,Male,6.3,36,Low,Cloudy,299.74,14.99,20,14.24,318.99,61.13,3.0,Average,FOOD10,,2,Paid,Yes,No,iOS,4.2,4.7,37,Standard,New,No,,10,12:35,Aug,7,Thursday,12,Afternoon,159.495,19.16,-1,On Time,Low Revenue,51+
ORD00025,CUST9025,REST100,RID1074,2025-07-16,20:41:00,Mumbai,Restaurant 51,Desserts,Delivered,Wallet,47,Female,4.5,21,Low,Clear,1439.21,0.0,30,71.96,1541.17,266.33,1.0,Poor,,,6,Paid,Yes,No,iOS,4.7,4.9,12,Standard,New,No,,10,20:41,Jul,16,Wednesday,20,Evening,256.8616666666667,17.28,9,Slight Delay,Top Revenue,36-50
ORD00026,CUST5920,REST167,RID1966,2025-10-19,09:41:00,Hyderabad,Restaurant 75,South Indian,Delivered,Cash,34,Male,12.1,15,Low,Rain,1450.41,72.52,50,68.89,1496.78,292.21,4.0,Excellent,WELCOME50,,3,Paid,No,Yes,iOS,4.4,4.9,25,Standard,Premium,No,,30,09:41,Oct,19,Sunday,9,Morning,498.9266666666667,19.52,-10,On Time,Top Revenue,26-35
ORD00027,CUST4715,REST163,RID1034,2025-12-27,17:03:00,Navi Mumbai,Restaurant 90,Chinese,Delivered,Cash,41,Female,3.8,66,Medium,Rain,837.77,83.78,20,37.7,811.69,224.65,1.0,Poor,SAVE100,,2,Paid,No,Yes,Android,3.8,4.7,16,Standard,Regular,No,,20,17:03,Dec,27,Saturday,17,Evening,405.845,27.68,50,High Delay,Mid Revenue,36-50
ORD00028,CUST4488,REST103,RID1997,2025-02-25,23:39:00,Bengaluru,Restaurant 77,South Indian,Delivered,Cash,21,Male,3.6,43,High,Cloudy,474.79,47.48,20,21.37,468.68,121.81,1.0,Poor,WELCOME50,,2,Paid,No,No,Android,3.8,4.9,33,Express,New,No,,30,23:39,Feb,25,Tuesday,23,Night,234.34,25.99,10,Slight Delay,Low Revenue,18-25
ORD00029,CUST4398,REST148,RID1365,2025-07-11,18:28:00,Navi Mumbai,Restaurant 99,Desserts,Delivered,Debit Card,45,Male,1.7,45,Low,Cloudy,183.79,9.19,20,8.73,203.33,47.02,4.0,Excellent,FOOD10,,2,Paid,No,No,Android,4.5,4.4,30,Express,New,No,,30,18:28,Jul,11,Friday,18,Evening,101.665,23.12,15,Slight Delay,Low Revenue,36-50
ORD00030,CUST6946,REST134,RID1343,2025-01-21,20:02:00,Pune,Restaurant 79,North Indian,Delivered,Debit Card,38,Female,5.2,61,High,Rain,1240.41,0.0,40,62.02,1342.43,391.95,1.0,Average,,,1,Paid,Yes,No,iOS,3.7,4.7,24,Express,Regular,No,,30,20:02,Jan,21,Tuesday,20,Evening,1342.43,29.2,37,High Delay,Top Revenue,36-50
ORD00031,CUST6928,REST176,RID1080,2025-03-09,23:11:00,Bengaluru,Restaurant 66,South Indian,Delivered,Cash,28,Male,6.7,56,Low,Cloudy,1408.99,70.45,30,66.93,1435.47,334.31,3.0,Average,SAVE100,,2,Paid,No,Yes,iOS,4.7,5.0,18,Standard,New,No,,30,23:11,Mar,9,Sunday,23,Night,717.735,23.29,38,High Delay,Top Revenue,26-35
ORD00032,CUST5813,REST135,RID1580,2025-12-30,22:11:00,Hyderabad,Restaurant 35,Chinese,Delivered,Debit Card,34,Male,7.2,26,Low,Clear,730.23,109.53,30,31.04,681.74,117.94,5.0,Excellent,SAVE100,,2,Paid,No,No,Android,4.1,5.0,26,Standard,Premium,No,,30,22:11,Dec,30,Tuesday,22,Night,340.87,17.3,0,On Time,Mid Revenue,26-35
ORD00033,CUST1825,REST124,RID1614,2025-01-19,11:00:00,Mumbai,Restaurant 75,South Indian,Delivered,UPI,41,Male,7.3,31,High,Clear,1261.22,126.12,40,56.75,1231.85,204.32,5.0,Good,WELCOME50,,6,Paid,No,Yes,iOS,3.8,4.2,14,Standard,New,No,,0,11:00,Jan,19,Sunday,11,Morning,205.3083333333333,16.59,17,High Delay,Top Revenue,36-50
ORD00034,CUST9120,REST170,RID1495,2025-11-03,14:52:00,Bengaluru,Restaurant 9,Pizza,Delivered,UPI,43,Male,9.9,20,High,Clear,611.97,30.6,30,29.07,640.44,134.28,3.0,Good,WELCOME50,,4,Paid,No,No,iOS,4.4,4.3,11,Express,Premium,No,,20,14:52,Nov,3,Monday,14,Afternoon,160.11,20.97,9,Slight Delay,Mid Revenue,36-50
ORD00035,CUST8113,REST120,RID1433,2025-08-01,21:01:00,Thane,Restaurant 15,Desserts,Delivered,UPI,43,Female,7.5,25,Low,Clear,1495.54,74.78,30,71.04,1521.8,240.07,2.0,Good,WELCOME50,,6,Paid,Yes,No,iOS,4.1,4.5,39,Express,Premium,No,,10,21:01,Aug,1,Friday,21,Night,253.63333333333333,15.78,-14,On Time,Top Revenue,36-50
ORD00036,CUST5941,REST116,RID1857,2025-06-28,17:10:00,Thane,Restaurant 6,Pizza,Delivered,Debit Card,21,Female,2.2,60,High,Rain,1401.66,0.0,50,70.08,1521.74,416.47,2.0,Good,,,6,Paid,No,Yes,iOS,3.8,4.3,37,Standard,Regular,No,,10,17:10,Jun,28,Saturday,17,Evening,253.62333333333333,27.37,23,High Delay,Top Revenue,18-25
ORD00037,CUST1673,REST171,RID1862,2025-01-22,20:33:00,Hyderabad,Restaurant 97,Biryani,Delivered,UPI,60,Female,2.6,53,Medium,Rain,654.15,0.0,30,32.71,716.86,198.82,3.0,Good,,,6,Paid,Yes,No,Android,4.3,4.3,31,Express,Regular,No,,10,20:33,Jan,22,Wednesday,20,Evening,119.47666666666667,27.73,22,High Delay,Mid Revenue,51+
ORD00038,CUST3104,REST145,RID1440,2025-01-12,08:39:00,Pune,Restaurant 47,North Indian,Refunded,Cash,50,Male,1.6,23,Low,Rain,794.16,79.42,50,35.74,800.48,157.74,5.0,Poor,WELCOME50,Late Delivery,1,Refunded,No,Yes,Android,4.2,4.3,40,Standard,New,No,Quality,0,08:39,Jan,12,Sunday,8,Morning,800.48,19.71,-17,On Time,Mid Revenue,36-50
ORD00039,CUST3601,REST141,RID1918,2025-04-10,12:56:00,Mumbai,Restaurant 79,Chinese,Delivered,Cash,27,Female,8.0,73,Medium,Clear,1442.76,0.0,30,72.14,1544.9,368.9,5.0,Average,,,5,Paid,Yes,No,Android,4.0,4.0,22,Standard,Premium,No,,20,12:56,Apr,10,Thursday,12,Afternoon,308.98,23.88,51,High Delay,Top Revenue,26-35
ORD00040,CUST9543,REST174,RID1705,2025-07-12,13:50:00,Hyderabad,Restaurant 14,Chinese,Delivered,Wallet,58,Female,11.3,38,Medium,Cloudy,331.9,49.78,20,14.11,316.23,94.42,5.0,Poor,FOOD10,,2,Paid,Yes,Yes,Android,4.6,4.3,15,Standard,Regular,No,,20,13:50,Jul,12,Saturday,13,Afternoon,158.115,29.86,23,High Delay,Low Revenue,51+
ORD00041,CUST9399,REST146,RID1917,2025-06-08,18:46:00,Bengaluru,Restaurant 7,South Indian,Delivered,Cash,32,Male,1.3,15,High,Cloudy,224.61,0.0,40,11.23,275.84,53.94,5.0,Poor,,,3,Paid,No,Yes,Android,4.1,4.2,14,Standard,Regular,No,,30,18:46,Jun,8,Sunday,18,Evening,91.94666666666666,19.55,1,On Time,Low Revenue,26-35
ORD00042,CUST3370,REST185,RID1800,2025-03-23,12:00:00,Mumbai,Restaurant 35,Pizza,Cancelled,Debit Card,18,Male,10.0,50,Medium,Rain,501.54,0.0,50,25.08,576.62,142.33,,,,,4,Paid,Yes,Yes,iOS,4.2,4.4,15,Standard,New,Yes,Late,30,12:00,Mar,23,Sunday,12,Afternoon,144.155,24.68,35,High Delay,Mid Revenue,18-25
ORD00043,CUST3861,REST165,RID1316,2025-04-06,15:10:00,Pune,Restaurant 9,Chinese,Delivered,UPI,48,Male,6.3,42,High,Cloudy,1208.11,0.0,30,60.41,1298.52,210.45,4.0,Poor,,,2,Paid,No,Yes,Android,3.6,4.1,11,Standard,Regular,No,,20,15:10,Apr,6,Sunday,15,Afternoon,649.26,16.21,31,High Delay,Top Revenue,36-50
ORD00044,CUST9313,REST101,RID1173,2025-12-31,09:17:00,Navi Mumbai,Restaurant 34,South Indian,Delivered,Credit Card,28,Female,3.7,39,Medium,Rain,1076.59,161.49,40,45.75,1000.85,186.03,5.0,Good,WELCOME50,,4,Paid,No,No,Android,4.2,3.8,10,Express,Premium,No,,20,09:17,Dec,31,Wednesday,9,Morning,250.2125,18.59,29,High Delay,High Revenue,26-35
ORD00045,CUST2747,REST179,RID1951,2025-04-19,20:39:00,Mumbai,Restaurant 21,Chinese,Delivered,Credit Card,19,Male,1.6,59,High,Rain,926.07,0.0,30,46.3,1002.37,156.77,,,,,1,Paid,Yes,Yes,iOS,3.6,4.5,21,Standard,Premium,No,,0,20:39,Apr,19,Saturday,20,Evening,1002.37,15.64,38,High Delay,High Revenue,18-25
ORD00046,CUST5708,REST161,RID1102,2025-12-31,20:06:00,Hyderabad,Restaurant 17,North Indian,Delivered,Credit Card,36,Female,5.7,31,Low,Cloudy,448.17,0.0,20,22.41,490.58,92.48,,,,,3,Paid,Yes,No,Android,4.6,4.9,34,Express,Regular,No,,0,20:06,Dec,31,Wednesday,20,Evening,163.52666666666667,18.85,-3,On Time,Low Revenue,36-50
ORD00047,CUST5704,REST121,RID1446,2025-07-31,08:27:00,Bengaluru,Restaurant 1,Burger,Delivered,Credit Card,36,Male,1.1,46,Low,Cloudy,309.76,30.98,20,13.94,312.72,79.52,2.0,Excellent,FOOD10,,4,Paid,No,No,Android,4.8,4.4,28,Standard,Regular,No,,10,08:27,Jul,31,Thursday,8,Morning,78.18,25.43,18,High Delay,Low Revenue,36-50
ORD00048,CUST7465,REST195,RID1088,2025-09-13,13:07:00,Hyderabad,Restaurant 55,Biryani,Cancelled,UPI,41,Male,5.2,42,High,Rain,1192.19,119.22,20,53.65,1146.62,201.42,2.0,Excellent,SAVE100,,4,Paid,Yes,Yes,Android,4.3,4.6,29,Standard,Regular,No,Quality,10,13:07,Sep,13,Saturday,13,Afternoon,286.655,17.57,13,Slight Delay,High Revenue,36-50
ORD00049,CUST4138,REST134,RID1308,2025-08-19,18:10:00,Pune,Restaurant 97,Biryani,Delivered,Wallet,27,Male,14.6,61,Medium,Rain,1089.56,54.48,30,51.75,1116.83,255.0,2.0,Good,FOOD10,,2,Paid,No,No,Android,3.8,5.0,33,Standard,New,No,,0,18:10,Aug,19,Tuesday,18,Evening,558.415,22.83,28,High Delay,High Revenue,26-35
ORD00050,CUST7362,REST159,RID1034,2025-04-11,20:09:00,Navi Mumbai,Restaurant 2,Pizza,Refunded,Cash,32,Female,7.5,24,Medium,Rain,1229.25,61.46,50,58.39,1276.18,332.75,1.0,Excellent,WELCOME50,Wrong Item,6,Refunded,Yes,No,Android,4.7,4.6,28,Express,New,No,Quality,50,20:09,Apr,11,Friday,20,Evening,212.6966666666667,26.07,-4,On Time,Top Revenue,26-35
ORD00051,CUST3563,REST132,RID1869,2025-04-28,13:41:00,Thane,Restaurant 55,Pizza,Delivered,Cash,19,Female,8.3,57,Low,Rain,750.94,37.55,20,35.67,769.06,153.2,1.0,Poor,FOOD10,,4,Paid,Yes,No,iOS,4.8,3.9,18,Standard,New,No,,10,13:41,Apr,28,Monday,13,Afternoon,192.265,19.92,39,High Delay,Mid Revenue,18-25
ORD00052,CUST7060,REST166,RID1351,2025-09-23,19:06:00,Bengaluru,Restaurant 53,Biryani,Delivered,Cash,31,Male,6.5,63,Low,Rain,782.96,0.0,50,39.15,872.11,259.6,,,,,3,Paid,Yes,No,iOS,3.9,4.3,11,Standard,New,No,,30,19:06,Sep,23,Tuesday,19,Evening,290.7033333333333,29.77,52,High Delay,High Revenue,26-35
ORD00053,CUST2128,REST181,RID1197,2025-11-18,19:37:00,Thane,Restaurant 61,Biryani,Delivered,Wallet,32,Male,5.9,55,Medium,Cloudy,476.24,47.62,30,21.43,480.05,143.74,5.0,Good,WELCOME50,,6,Paid,Yes,No,Android,4.7,4.2,37,Standard,Regular,No,,20,19:37,Nov,18,Tuesday,19,Evening,80.00833333333334,29.94,18,High Delay,Low Revenue,26-35
ORD00054,CUST8944,REST154,RID1638,2025-08-07,13:30:00,Pune,Restaurant 82,North Indian,Delivered,Debit Card,27,Female,13.0,18,Low,Rain,1132.76,56.64,40,53.81,1169.93,334.45,2.0,Average,SAVE100,,5,Paid,Yes,No,iOS,4.4,3.8,10,Standard,New,No,,20,13:30,Aug,7,Thursday,13,Afternoon,233.98600000000002,28.59,8,Slight Delay,High Revenue,26-35
ORD00055,CUST3751,REST178,RID1912,2025-11-08,11:37:00,Pune,Restaurant 89,Burger,Delivered,UPI,60,Female,3.8,59,Low,Rain,488.41,48.84,40,21.98,501.55,81.15,4.0,Poor,FOOD10,,6,Paid,No,Yes,iOS,4.3,4.1,17,Standard,Regular,No,,0,11:37,Nov,8,Saturday,11,Morning,83.59166666666667,16.18,42,High Delay,Low Revenue,51+
ORD00056,CUST6254,REST159,RID1712,2025-09-05,22:57:00,Bengaluru,Restaurant 73,Pizza,Delivered,Debit Card,47,Female,7.0,58,Low,Clear,828.61,82.86,30,37.29,813.04,199.65,1.0,Excellent,WELCOME50,,1,Paid,No,No,iOS,4.5,4.9,20,Standard,Premium,No,,10,22:57,Sep,5,Friday,22,Night,813.04,24.56,38,High Delay,Mid Revenue,36-50
ORD00057,CUST5655,REST155,RID1350,2025-01-18,14:45:00,Navi Mumbai,Restaurant 55,Chinese,Delivered,Wallet,21,Female,5.1,67,Medium,Cloudy,347.51,0.0,40,17.38,404.89,81.0,3.0,Good,,,5,Paid,No,Yes,Android,3.8,4.4,13,Express,New,No,,20,14:45,Jan,18,Saturday,14,Afternoon,80.978,20.01,54,High Delay,Low Revenue,18-25
ORD00058,CUST1101,REST105,RID1194,2025-03-07,10:50:00,Bengaluru,Restaurant 61,Burger,Refunded,UPI,50,Female,9.6,55,High,Rain,706.52,105.98,50,30.03,680.57,172.44,1.0,Poor,WELCOME50,Wrong Item,2,Refunded,No,No,Android,4.4,4.6,15,Standard,Premium,No,Late,30,10:50,Mar,7,Friday,10,Morning,340.285,25.34,40,High Delay,Mid Revenue,36-50
ORD00059,CUST1334,REST155,RID1579,2025-02-21,08:23:00,Navi Mumbai,Restaurant 83,Burger,Delivered,UPI,49,Male,12.5,64,Medium,Rain,363.08,18.15,40,17.25,402.18,102.3,4.0,Excellent,SAVE100,,4,Paid,No,No,Android,4.5,4.5,40,Standard,Regular,No,,50,08:23,Feb,21,Friday,8,Morning,100.545,25.44,24,High Delay,Low Revenue,36-50
ORD00060,CUST2993,REST111,RID1223,2025-02-22,10:41:00,Mumbai,Restaurant 16,South Indian,Delivered,Cash,19,Female,11.1,30,Medium,Rain,1362.42,0.0,50,68.12,1480.54,387.36,,,,,1,Paid,No,Yes,Android,4.5,4.6,14,Standard,Regular,No,,30,10:41,Feb,22,Saturday,10,Morning,1480.54,26.16,16,High Delay,Top Revenue,18-25
ORD00061,CUST6096,REST139,RID1746,2025-08-24,16:58:00,Mumbai,Restaurant 77,South Indian,Refunded,Cash,56,Male,5.4,75,High,Rain,1126.72,0.0,20,56.34,1203.06,259.63,2.0,Excellent,,Wrong Item,2,Refunded,No,Yes,iOS,3.7,4.9,15,Express,Regular,No,Wrong Item,20,16:58,Aug,24,Sunday,16,Afternoon,601.53,21.58,60,High Delay,Top Revenue,51+
ORD00062,CUST6056,REST174,RID1438,2025-10-18,18:18:00,Bengaluru,Restaurant 32,Pizza,Delivered,Cash,42,Male,12.3,33,High,Clear,1000.84,150.13,40,42.54,933.25,185.0,3.0,Excellent,WELCOME50,,4,Paid,No,Yes,Android,4.8,4.7,35,Standard,Regular,No,,50,18:18,Oct,18,Saturday,18,Evening,233.3125,19.82,-2,On Time,High Revenue,36-50
ORD00063,CUST8942,REST148,RID1205,2025-03-17,16:54:00,Bengaluru,Restaurant 97,Biryani,Delivered,Credit Card,37,Male,10.5,44,High,Clear,903.16,90.32,40,40.64,893.48,258.13,,,FOOD10,,5,Paid,No,No,iOS,4.6,4.4,12,Express,New,No,,50,16:54,Mar,17,Monday,16,Afternoon,178.696,28.89,32,High Delay,High Revenue,36-50
ORD00064,CUST5748,REST146,RID1591,2025-09-24,16:56:00,Pune,Restaurant 73,Chinese,Delivered,Cash,51,Male,4.4,74,Medium,Cloudy,603.71,90.56,30,25.66,568.81,159.24,3.0,Excellent,WELCOME50,,6,Paid,No,No,Android,3.6,4.2,10,Express,Regular,No,,0,16:56,Sep,24,Wednesday,16,Afternoon,94.80166666666666,28.0,64,High Delay,Mid Revenue,51+
ORD00065,CUST8321,REST198,RID1607,2025-02-18,09:13:00,Navi Mumbai,Restaurant 78,South Indian,Refunded,Debit Card,20,Female,3.8,26,Medium,Clear,1323.23,132.32,30,59.55,1280.46,197.35,1.0,Average,WELCOME50,Wrong Item,5,Refunded,No,No,Android,4.5,4.4,37,Standard,Premium,No,Late,0,09:13,Feb,18,Tuesday,9,Morning,256.092,15.41,-11,On Time,Top Revenue,18-25
